id_transaccion,id_cliente,id_producto,cantidad,fecha
1001,C001,P001,2,2025-01-15
1002,C002,P003,1,2025-01-15
1003,C001,P002,3,2025-01-16
1004,C003,P001,1,2025-01-16
1005,C002,P004,2,2025-01-17
1006,C004,P002,1,2025-01-17
1007,C001,P003,2,2025-01-18
1008,C005,P001,4,2025-01-18
1009,C003,P005,2,2025-01-19
1010,C004,P004,5,2025-01-19
1011,C002,P001,1,2025-01-20
1012,C005,P002,2,2025-01-20
1013,C001,P005,1,2025-01-21
1014,C003,P003,3,2025-01-21
1015,C004,P001,2,2025-01-22
1016,C005,P004,1,2025-01-22
